airline,A,B,country_A,lon_A,lat_A,country_B,lon_B,lat_B,color,AB
DL,CVG,MCO,US,-84.667801,39.048801,US,-81.30899810791016,28.429399490356445,#ff0000,CVG_MCO
DL,ATL,LAX,US,-84.428101,33.6367,US,-118.407997,33.942501,#ff0000,ATL_LAX
AA,PHL,PBI,US,-75.24109649658203,39.87189865112305,US,-80.09559631347656,26.68320083618164,#6cff7d,PHL_PBI
AA,CLT,SDF,US,-80.94309997558594,35.2140007019043,US,-85.736,38.1744,#6cff7d,CLT_SDF
DL,SLC,MFR,US,-111.97799682617188,40.78839874267578,US,-122.87300109863281,42.37419891357422,#ff0000,SLC_MFR
UA,EWR,IAD,US,-74.168701171875,40.692501068115234,US,-77.45580292,38.94449997,#426ae1,EWR_IAD
DL,ATL,TUS,US,-84.428101,33.6367,US,-110.938053,32.115004,#ff0000,ATL_TUS
AA,PHL,CVG,US,-75.24109649658203,39.87189865112305,US,-84.667801,39.048801,#6cff7d,PHL_CVG
DL,BOS,PHL,US,-71.00520325,42.36429977,US,-75.24109649658203,39.87189865112305,#ff0000,BOS_PHL
DL,SEA,RDM,US,-122.308998,47.449001,US,-121.1500015,44.2541008,#ff0000,SEA_RDM
UA,IAH,ATL,US,-95.34140014648438,29.984399795532227,US,-84.428101,33.6367,#426ae1,IAH_ATL
DL,DTW,MQT,US,-83.35340118408203,42.212398529052734,US,-87.395401001,46.353599548300004,#ff0000,DTW_MQT
AA,ORD,HSV,US,-87.9048,41.9786,US,-86.775100708008,34.637199401855,#6cff7d,ORD_HSV
UA,SFO,PHX,US,-122.375,37.61899948120117,US,-112.01200103759766,33.43429946899414,#426ae1,SFO_PHX
UA,IAH,ASE,US,-95.34140014648438,29.984399795532227,US,-106.8690033,39.22320175,#426ae1,IAH_ASE
DL,BOS,AUS,US,-71.00520325,42.36429977,US,-97.6698989868164,30.194499969482422,#ff0000,BOS_AUS
DL,ATL,EYW,US,-84.428101,33.6367,US,-81.75959777832031,24.556100845336914,#ff0000,ATL_EYW
AA,DFW,TLH,US,-97.038002,32.896801,US,-84.35030364990234,30.396499633789062,#6cff7d,DFW_TLH
DL,SLC,SGU,US,-111.97799682617188,40.78839874267578,US,-113.510306,37.036389,#ff0000,SLC_SGU
DL,MSP,CIU,US,-93.221802,44.882,US,-84.47239685058594,46.25080108642578,#ff0000,MSP_CIU
AA,LGA,GSO,US,-73.872597,40.777199,US,-79.93730163574219,36.097801208496094,#6cff7d,LGA_GSO
DL,MSP,MSO,US,-93.221802,44.882,US,-114.0910034,46.91630173,#ff0000,MSP_MSO
AA,ORD,FSD,US,-87.9048,41.9786,US,-96.741897583,43.582000732400004,#6cff7d,ORD_FSD
UA,IAH,MOB,US,-95.34140014648438,29.984399795532227,US,-88.242797851562,30.691200256348,#426ae1,IAH_MOB
UA,IAD,JAX,US,-77.45580292,38.94449997,US,-81.68789672851562,30.49410057067871,#426ae1,IAD_JAX
AA,DFW,IAD,US,-97.038002,32.896801,US,-77.45580292,38.94449997,#6cff7d,DFW_IAD
UA,DEN,HSV,US,-104.672996521,39.861698150635,US,-86.775100708008,34.637199401855,#426ae1,DEN_HSV
AA,PHL,OMA,US,-75.24109649658203,39.87189865112305,US,-95.894096,41.3032,#6cff7d,PHL_OMA
DL,MSP,GEG,US,-93.221802,44.882,US,-117.53399658203125,47.61989974975586,#ff0000,MSP_GEG
AA,ORD,ROC,US,-87.9048,41.9786,US,-77.67240142822266,43.118900299072266,#6cff7d,ORD_ROC
AA,DFW,ONT,US,-97.038002,32.896801,US,-117.60099792480469,34.055999755859375,#6cff7d,DFW_ONT
UA,DEN,SHR,US,-104.672996521,39.861698150635,US,-106.9800033569336,44.76919937133789,#426ae1,DEN_SHR
AA,DFW,BPT,US,-97.038002,32.896801,US,-94.02069854736328,29.9507999420166,#6cff7d,DFW_BPT
UA,SFO,FAT,US,-122.375,37.61899948120117,US,-119.718002,36.776199,#426ae1,SFO_FAT
UA,IAH,SAV,US,-95.34140014648438,29.984399795532227,US,-81.20210266,32.12760162,#426ae1,IAH_SAV
UA,IAH,SAT,US,-95.34140014648438,29.984399795532227,US,-98.469803,29.533701,#426ae1,IAH_SAT
DL,DTW,GRR,US,-83.35340118408203,42.212398529052734,US,-85.52279663,42.88079834,#ff0000,DTW_GRR
AA,CLT,ABE,US,-80.94309997558594,35.2140007019043,US,-75.44080352783203,40.652099609375,#6cff7d,CLT_ABE
AA,PHX,SLC,US,-112.01200103759766,33.43429946899414,US,-111.97799682617188,40.78839874267578,#6cff7d,PHX_SLC
AA,DFW,MEM,US,-97.038002,32.896801,US,-89.97669982910156,35.04240036010742,#6cff7d,DFW_MEM
AA,DFW,SNA,US,-97.038002,32.896801,US,-117.8679962,33.67570114,#6cff7d,DFW_SNA
DL,MSP,CLT,US,-93.221802,44.882,US,-80.94309997558594,35.2140007019043,#ff0000,MSP_CLT
UA,IAD,DFW,US,-77.45580292,38.94449997,US,-97.038002,32.896801,#426ae1,IAD_DFW
AA,LAX,PHX,US,-118.407997,33.942501,US,-112.01200103759766,33.43429946899414,#6cff7d,LAX_PHX
DL,ATL,FSM,US,-84.428101,33.6367,US,-94.36740112304688,35.33660125732422,#ff0000,ATL_FSM
DL,DTW,MHT,US,-83.35340118408203,42.212398529052734,US,-71.435699,42.932598,#ff0000,DTW_MHT
UA,IAH,LFT,US,-95.34140014648438,29.984399795532227,US,-91.98760223,30.20529938,#426ae1,IAH_LFT
DL,SLC,IAH,US,-111.97799682617188,40.78839874267578,US,-95.34140014648438,29.984399795532227,#ff0000,SLC_IAH
AA,DCA,STL,US,-77.037697,38.8521,US,-90.370003,38.748697,#6cff7d,DCA_STL
DL,BOS,CLE,US,-71.00520325,42.36429977,US,-81.8498001099,41.4117012024,#ff0000,BOS_CLE
AA,CLT,HSV,US,-80.94309997558594,35.2140007019043,US,-86.775100708008,34.637199401855,#6cff7d,CLT_HSV
AA,DFW,FLG,US,-97.038002,32.896801,US,-111.6709976,35.13850021,#6cff7d,DFW_FLG
AA,DFW,PHL,US,-97.038002,32.896801,US,-75.24109649658203,39.87189865112305,#6cff7d,DFW_PHL
AA,DCA,DAY,US,-77.037697,38.8521,US,-84.21939849853516,39.902400970458984,#6cff7d,DCA_DAY
AA,LAX,OKC,US,-118.407997,33.942501,US,-97.60070037841797,35.39310073852539,#6cff7d,LAX_OKC
DL,SLC,OAK,US,-111.97799682617188,40.78839874267578,US,-122.221001,37.721298,#ff0000,SLC_OAK
UA,IAD,ITH,US,-77.45580292,38.94449997,US,-76.4583969116211,42.49100112915039,#426ae1,IAD_ITH
AA,DFW,GSP,US,-97.038002,32.896801,US,-82.2189025879,34.8956985474,#6cff7d,DFW_GSP
AA,DFW,AGS,US,-97.038002,32.896801,US,-81.9645004272461,33.36989974975586,#6cff7d,DFW_AGS
UA,EWR,PQI,US,-74.168701171875,40.692501068115234,US,-68.0448,46.688999,#426ae1,EWR_PQI
